"ID","WCAG SC","Level","Task","Main Role","Starter List","Primary Ownership","Secondary Ownership","Contributor","Status"
"CSS-014","1.4.4","AA","CSS techniques are used to ensure that content doesn't overflow, overlap or get truncated as a result of increasing the text size.","Development","x","Front-End Development","Visual Design","User Experience (UX) Design","Best Practice"
"CSS-015","1.4.5","AA","CSS background sprites don't include images of text, unless equivalent text alternatives are also provided as part of the HTML.","Development","","Front-End Development","Content Authoring, Visual Design","none","Requirement"
"CSS-016","1.4.6","AAA","Regular-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 7:1.","Design","","Visual Design","none","none","Requirement"
"CSS-017","1.4.6","AAA","Large-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 4.5:1.","Design","","Visual Design","none","none","Requirement"
"CSS-018","1.4.10","AA","The design makes it possible for end users to enlarge the text so that it reflows into a single column without any loss of information or functionality.","Design","","Visual Design","User Experience (UX) Design","none","Requirement"
"CSS-019","1.4.10","AA","Displaying content on narrower screens or magnifying it does not cause multidirectional scrolling.","Design","x","Visual Design","Front-End Development","User Experience (UX) Design","Requirement"
"CSS-020","1.4.11","AA","All non-text user interface components and graphical objects are sufficiently contrasted against their background, with a luminosity ratio of at least 3:1.","Design","x","Visual Design","none","none","Requirement"
"CSS-021","1.4.12","AA","Adjusting spacing between letters, words, or paragraphs, or adjusting line height does not cause a loss of content or functionality.","Design","","Visual Design","Front-End Development","none","Requirement"
"CSS-022","2.4.7","AA","The CSS outline property of objects that receive keyboard focus are not set to zero or none.","Development","","Front-End Development","Visual Design","none","Best Practice"
"CSS-023","2.4.11","AA","Elements that receive keyboard focus are at least partially visible in the viewport, without being covered by other content.","Design",,"User Experience (UX) Design","Front-End Development","Visual Design",TBD
"CSS-024","2.4.12","AAA","Elements that receive keyboard focus are fully visible within the viewport, without being covered by other content.","Design",,"User Experience (UX) Design","Front-End Development","Visual Design",TBD
"CSS-025","2.4.13","AAA","The keyboard focus indicator is clearly visible and has a minimum area equivalent to a 2 CSS pixel thick border around the focused element, except situations where no visible change is required.","Design",,"Visual Design",,"User Experience (UX) Design, Front-End Development",TBD
"CSS-026","2.4.13","AAA","The focus indicator has a contrast ratio of at least 3:1 between the same pixels in the focused and unfocused states.","Design",,"Visual Design","none","none",TBD
"CSS-027","2.5.5","AAA","Unless the interactive element is part of a sentence or a block of text, its size must be at least 44 x 44 pixels.","Design","x","Visual Design","none","none","Requirement"
"CSS-028","2.5.8","AA","A minimum height and width of 24 CSS pixels is provided for each interactive target that is not an inline link or control.",Design,,"Visual Design","none","none",TBD
"CSS-029","2.5.8","AA","For any control that is less than 24 by 24 CSS pixels, add padding so that the target area is at least 24 by 24 CSS pixels.",Design,,"Visual Design","none","none",TBD
"CSS-030","2.5.8","AA","Controls with the same functionality or destination are combined within a single target area that is at least 24 by 24 CSS pixels.",Design,,"User Experience (UX) Design","Visual Design","Front-End Development",TBD
"NAV-001","1.3.1","A","Active objects and other calls to action are visually identifiable as such.","Design","x","Visual Design","none","none","Requirement"
"NAV-002","1.3.3","A","Instructions are conveyed through more than shape, size, position, or sound alone.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"NAV-003","1.4.1","A","Additional visual and/or textual cues are provided when color is used to convey information.","Design","x","User Experience (UX) Design","Visual Design, Content Authoring","none","Requirement"
"NAV-004","2.2.1","A","Users are notified when time limits are about to expire.","Design","","User Experience (UX) Design","Business Analysis","none","Requirement"
"NAV-005","2.2.1","A","Options to extend, or even turn off time limits are provided.","Design","","User Experience (UX) Design","Business Analysis","none","Requirement"
"NAV-006","2.2.2","A","Users are given means to pause, stop or hide content that automatically updates.","Design","x","User Experience (UX) Design","none","none","Requirement"
"NAV-007","2.2.4","AAA","Users are provided with means to turn off all updates, except in case of emergencies.","Design","","User Experience (UX) Design","none","none","Requirement"
"NAV-008","2.2.5","AAA","Users are provided with means to re-authenticate sessions without loss of data.","Design","","User Experience (UX) Design","none","none","Requirement"
"NAV-009","2.4.1","A","Users can bypass blocks of content using skip links or similar mechanisms.","Design","x","User Experience (UX) Design","none","none","Requirement"
"NAV-010","2.4.1","A","Skip links (and similar mechanisms) for main content and navigation are provided at the most effective location in the interface (such as the very first tab stop).","Design","","User Experience (UX) Design","none","none","Requirement"
"NAV-011","2.4.1","A","The functionality and expected destination of skip links and similar mechanisms is clearly defined.","Design","","User Experience (UX) Design","Content Authoring","none","Requirement"
"NAV-012","2.4.1","A","Skip links and similar mechanisms point to the expected destination.","Development","x","Front-End Development","User Experience (UX) Design","none","Requirement"
"NAV-013","2.4.3","A","All active elements receive focus in a logical and predictable order that is prescribed by the visual presentation.","Development","","Front-End Development","User Experience (UX) Design","User Experience (UX), Design Visual Design","Requirement"
"NAV-014","2.4.3","A","A logical and predictable focus order is defined for complex interactions.","Design","x","User Experience (UX) Design","none","none","Best Practice"
"NAV-015","2.4.3","A","Objects that are not actionable are not part of the tabbing order.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"NAV-016","2.4.3","A","Focus is sent back to the initiating point when modal dialogs and controls are dismissed.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"NAV-017","2.4.3","A","Event handlers do not unexpectedly send the focus somewhere else on the page.","Development","","Front-End Development","none","none","Requirement"
"NAV-018","2.4.4","A","Link text and alternate text for images, when used as links, describe the destination or purpose of the link.","Author","x","Content Authoring","none","none","Requirement"
"NAV-019","2.4.4","A","Links are marked up using the anchor element and have a valid href attribute value (or use other equivalent means).","Development","","Front-End Development","none","none","Requirement"
"NAV-020","2.4.5","AA","Multiple mechanisms are provided for wayfinding, such as navigation menus, breadcrumbs, search features, site map, progress bar, steps, etc.","Design","x","User Experience (UX) Design","none","none","Requirement"
"NAV-021","2.4.8","AAA","Indications are provided to help users identify their current location within the site.","Design","","User Experience (UX) Design","Visual Design","none","Requirement"
"NAV-022","2.4.9","AAA","The purpose of each link can be identified in its immediate context, or from the link text alone.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"NAV-023","2.4.10","AAA","Content is logically organized using section headings.","Author","","Content Authoring","User Experience (UX) Design","Front-End Development","Requirement"
"NAV-024","3.2.1","A","Setting the focus to a new element doesn't automatically trigger a context change, such as content updates or the opening of new windows.","Design","x","User Experience (UX) Design","Front-End Development","none","Requirement"
"NAV-025","3.2.2","A","Interacting with input controls or other equivalent elements doesn't automatically trigger a change of context, unless the user has been notified ahead of time.","Design","","User Experience (UX) Design","Front-End Development","none","Requirement"
"NAV-026","3.2.3","AA","Navigation mechanisms are repeated consistently throughout the site or application in the same relative order.","Design","x","User Experience (UX) Design","Visual Design","none","Requirement"
"NAV-027","3.2.4","AA","Navigational graphics and icons used throughout the site or application are designed to always serve the same function and or meaning.","Design","x","Visual Design","User Experience (UX) Design","none","Requirement"
"NAV-028","3.2.4","AA","The accessible name of user interface components used across the site or application are defined consistently.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"NAV-029","3.2.4","AA","Users can consistently distinguish between links internal to a page and links going to different locations.","Design","","Visual Design","none","none","Requirement"
"NAV-030","3.2.5","AAA","Links that open new windows visually indicate they will do so.","Design","","User Experience (UX) Design","Visual Design","none","Best Practice"
"NAV-031","3.2.5","AAA","Links that open new windows indicate they will do so, either as part of the link text, or using aria-label or equivalent means.","Development","","Front-End Development","Content Authoring","none","Requirement"
"NAV-032","3.2.6","AAA","Help mechanisms are repeated consistently throughout the site or application in the same relative order.","Design",,"User Experience (UX) Design","Visual Design","none",TBD
"TAB-001","1.3.1","A","Tables are only to be used to lay out tabular information or data.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-002","1.3.1","A","Table row and/or column headers provide context for data within the table.","Design","","User Experience (UX) Design","none","none","Requirement"
"TAB-003","1.3.1","A","Data table structure is appropriate for the data being included.","Design","","User Experience (UX) Design","none","none","Requirement"
"TAB-004","1.3.1","A","Tabular data and corresponding header cells for that data are part of the same table.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-005","1.3.1","A","Header cells for rows are marked up using THEAD elements.","Development","","Front-End Development","none","none","Requirement"
"TAB-006","1.3.1","A","Header cells for columns are marked up using TH elements.","Development","","Front-End Development","none","none","Requirement"
"TAB-007","1.3.1","A","The relationship between table header rows and table header columns with data cells in simple data tables is provided through the SCOPE attributes.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-008","1.3.1","A","The relationship between table header rows and table header columns with data cells in complex data tables is provided through the HEADERS and ID attributes.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-009","1.3.1","A","Caption elements are used to associate caption information with data tables.","Development","","Front-End Development","none","none","Requirement"
"TAB-010","1.3.1","A","Large, complex data tables are broken into smaller, simpler data tables (when possible).","Design","","User Experience (UX) Design","Visual Design, Content Authoring","none","Best Practice"
"TAB-011","1.3.1","A","Unrelated data is not included in the same data table.","Design","","User Experience (UX) Design","Content Authoring","none","Best Practice"
"TAB-012","1.3.1","A","Tables are not used for layout purposes.","Development","","Front-End Development","none","none","Requirement"
"TAB-013","1.3.1","A","Tables are not used to layout lists.","Development","","Front-End Development","none","none","Requirement"
"TAB-014","1.3.1","A","Caption elements, aria-labelledby attributes or other equivalent means are used to explain the structure of data tables.","Development","","Front-End Development","none","none","Best Practice"
"TAB-015","1.3.1","A","A meaningful description of the structure of data tables is provided.","Author","x","Content Authoring","User Experience (UX) Design","none","Requirement"
"TAB-016","1.3.2","A","The programmatic order of the table content matches the intended reading order, so not to affect its meaning.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-017","2.4.6","AA","All data table header cells are identified.","Design","","User Experience (UX) Design","Front-End Development","none","Requirement"
"ANM-001","1.2.1","A","Text transcripts are provided for prerecorded audio-only files.","Author","x","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-002","1.2.1","A","Text transcripts are provided for prerecorded video-only files.","Author","x","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-003","1.2.1","A","Links to transcript files are provided in close proximity to the audio-only files.","Design","","User Experience (UX) Design","none","none","Best Practice"
"ANM-004","1.2.1","A","The relationship between multimedia files and their associated transcript is clearly communicated through content sequence or focus order.","Design","","User Experience (UX) Design","Front-End Development","none","Requirement"
"ANM-005","1.2.1","A","Copy on the page identifies when video content has no sound.","Design","","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-006","1.2.1","A","When appropriate, further information about the multimedia file is provided in proximity to the multimedia file.","Design","","User Experience (UX) Design","none","none","Requirement"
"ANM-007","1.2.2","A","Synchronized captions are provided for all prerecorded video content.","Author","x","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-008","1.2.2","A","Captions do not skip dialogues or important sounds.","Author","","Content Authoring","none","none","Requirement"
"ANM-009","1.2.2","A","Multimedia player controls are provided to turn captions on or off.","Design","","User Experience (UX) Design","none","none","Requirement"
"ANM-010","1.2.3","A","Text transcripts report all significant information from the audio track.","Author","x","Content Authoring","none","none","Requirement"
"ANM-011","1.2.3","A","Text transcripts or audio descriptions report all significant information from the visual track.","Author","","Content Authoring","none","none","Requirement"
"ANM-012","1.2.4","AA","Synchronized captions are provided for all live video content.","Author","","Content Authoring","none","none","Requirement"
"ANM-013","1.2.4","AA","Captions for live audio content are generated using real-time text transcription services.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-014","1.2.5","AA","Prerecorded videos have audio descriptions that captures all significant information from the visual track.","Author","","Content Authoring","none","none","Best Practice"
"ANM-015","1.2.5","AA","Controls to toggle audio descriptions features are provided as part of the media player controls.","Design","","User Experience (UX) Design","none","none","Best Practice"
"ANM-016","1.2.5","AA","Multimedia player controls are provided to access a version of the video with audio description.","Design","","User Experience (UX) Design","none","none","Best Practice"
"ANM-017","1.2.6","AAA","Sign language interpretation is provided for all prerecorded audio content in synchronized media.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-018","1.2.7","AAA","Extended audio description is provided for all prerecorded synchronized video content when pauses in foreground audio are insufficient to allow audio descriptions to convey the sense of the video.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-019","1.2.8","AAA","Text alternatives are provided for all prerecorded audio and video files.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-020","1.2.8","AAA","Brief descriptions summarizing multimedia content are provided in close proximity to the audio and video files.","Design","","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-021","1.2.9","AAA","Live transcripts are provided for all audio content happening in real-time.","Author","","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-022","1.4.2","A","Multimedia player controls are provided to turn sound on and off.","Design","","User Experience (UX) Design","none","none","Best Practice"
"ANM-023","1.4.2","A","Volume controls for page-level multimedia files are independent from general computer audio controls.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"ANM-024","1.4.2","A","Volume controls for page-level multimedia files are visually located at the top of the page.","Design","","User Experience (UX) Design","none","none","Requirement"
"ANM-025","1.4.2","A","Audio content that automatically starts on page load lasts no longer than 3 seconds.","Development","","Front-End Development","User Experience (UX) Design","none","Best Practice"
"ANM-026","1.4.2","A","Prerecorded or live video content is not set to auto-play.","Design","","User Experience (UX) Design","none","none","Best Practice"
"ANM-027","1.4.7","AAA","Prerecorded audio-only background sounds can be controlled by the user.","Design","","User Experience (UX) Design","Front-End Development","none","Best Practice"
"ANM-028","1.4.7","AAA","Prerecorded audio-only speeches contain no background sound, or if they do, must be at least 20 decibels lower than the foreground speech content.","Author","","Content Authoring","none","none","Requirement"
"ANM-029","2.1.1","A","Multimedia player controls can be fully operated using only the keyboard.","Development","","Front-End Development","User Experience (UX) Design","none","Best Practice"
"ANM-030","2.2.2","A","Multimedia player controls are provided to pause or play the multimedia file.","Design","","User Experience (UX) Design","none","none","Requirement"
"ANM-031","2.2.3","AAA","Timing is not an essential part of the event or activity presented by the content.","Design","","User Experience (UX) Design","Content Authoring","Business Analysis","Requirement"
"ANM-032","2.2.6","AAA","Users are warned that more than 20 hours of inactivity could lead to data loss.","Design","","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-033","2.3.1","A","Content on the screen does not flash or blink more than three times in any one-second period, or the flash is below the general flash and red flash thresholds.","Design","","Visual Design","none","none","Requirement"
"ANM-034","2.3.2","AAA","Content on the screen does not flash or blink at a rate that is higher than three times in any one-second period.","Design","","Visual Design","none","none","Requirement"
"ANM-035","2.3.3","AAA","Animation features that create the illusion of movement are defined so that users can disable them.","Design","","User Experience (UX) Design","Front-End Developement","none","Requirement"
"ANM-036","2.3.3","AAA","Animation features that create the illusion of movement support prefers-reduced-motion (or other equivalent means).","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"ANM-037","4.1.2","A","Information conveyed by multimedia player controls are programmatically announced through assistive technologies.","Development","","Front-End Development","User Experience (UX) Design",,"Best Practice"
"SCT-001","1.1.1","A","Emoticons, emojis, ASCII art, and other non-markup language constructs are supported with equivalent text alternatives and conveyed to assistive technologies.","Design","","User Experience (UX) Design","Content Authoring","Front-End Development","Requirement"
"SCT-002","1.3.1","A","Emoticons, emojis, ASCII art, and other non-markup language constructs are not used as the only way to structure content or convey information.","Design","","User Experience (UX) Design","Front-End Development","none","Requirement"
"SCT-003","1.3.1","A","Proper markup is used to render emphasized, bolded text and other stylistic or presentational effects.","Development","","Front-End Development","none","none","Requirement"
"SCT-004","1.3.1","A","Proper markup is used to structure quotes, blockquotes and citations.","Development","","Front-End Development","Content Authoring","none","Requirement"
"SCT-005","1.3.1","A","Heading markup is only used for text which acts as a section heading.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"SCT-006","1.3.1","A","Heading markup is not used for formatting effects.","Development","","Front-End Development","none","none","Requirement"
"SCT-007","1.3.1","A","The headings used in a page provide a logical outline for the document.","Author","x","Content Authoring","User Experience (UX) Design","none","Requirement"
"SCT-008","1.3.2","A","The intended reading order of the content remains logical when CSS and images are turned off.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"SCT-009","1.3.2","A","The source code order reflects the intended reading order of the document.","Development","","Front-End Development","User Experience (UX) Design","none","Requirement"
"SCT-010","1.3.3","A","Objects that rely on shape to be properly perceived are supported with additional text information.","Design","","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-011","1.3.3","A","Objects that rely on size to be properly perceived are supported with additional text information.","Design","","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-012","1.3.3","A","Objects that rely on visual location to be properly perceived are supported with additional text information.","Design","","User Experience (UX) Design","Visual Design","Content Authoring","Best Practice"
"SCT-013","1.3.3","A","Objects that rely on orientation to be properly perceived are supported with additional text information.","Design","","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-014","1.3.3","A","Objects that rely on sound to be properly perceived are supported with additional text information.","Design","","User Experience (UX) Design","Content Authoring","none","Requirement"
"SCT-015","1.4.5","AA","Mathematical formulas are marked up using MathML.","Development","","Front-End Development","Content Authoring","none","Best Practice"
"SCT-016","1.4.8","AAA","Text content in design assets such as content blocks is left-aligned in left-to-right languages.","Design","","Visual Design","User Experience (UX) Design","none","Requirement"
"SCT-017","1.4.8","AAA","Fully justified text can easily be changed to ragged right text with a simple action.","Design","","User Experience (UX) Design","Front-End Development","none","Requirement"
"SCT-018","3.1.1","A","The primary language used in the document is properly identified using the lang attribute.","Development","","Front-End Development","none","none","Requirement"
"SCT-019","3.1.1","A","The language definition of the document uses the correct value for language and locale.","Author","","Content Authoring","none","none","Requirement"
"SCT-020","3.1.2","AA","Content passages that differ from the default are identified with the correct value for language and locale.","Author","","Content Authoring","Front-End Development","none","Best Practice"
"SCT-021","3.1.3","AAA","Unusual words, phrases, and abbreviations are organized into a glossary.","Design","","User Experience (UX) Design","Content Authoring","none","Best Practice"
"SCT-022","3.1.3","AAA","Unusual words found in the content are linked to their definitions in a glossary.","Design","","User Experience (UX) Design","Content Authoring","none","Best Practice"
"SCT-023","3.1.4","AAA","Abbreviations are programmatically associated with their definition.","Development","","Front-End Development","none","none","Requirement"
"SCT-024","3.1.5","AAA","Content is written in plain language using everyday words, to help users with different literacy levels and access needs.","Author","x","Content Authoring","none","none","Requirement"
"SCT-027","3.1.5","AAA","Ideas conveyed through text are supported with illustrations or other visuals.","Design","","Visual Design","User Experience (UX) Design, Content Authoring","none","Requirement"
"SCT-028","3.1.5","AAA","Content is displayed and structured in a way that makes it easier to read.","Design","","User Experience (UX) Design","Visual Design","none","Requirement"
"SCT-029","3.1.6","AAA","Ambiguous words are supported by a mechanism that helps users identify their specific pronunciation.","Design","","User Experience (UX) Design","Front-End Development","Content Authoring","Requirement"
"DYN-001","2.4.11","AA","Fixed-position content does not fully cover focused elements.","Design",,"User Experience (UX) Design","Front-End Development","Visual Design",TBD
"DYN-002","2.4.12","AA","Fixed-position content does not cover any part of focused elements.","Design",,"User Experience (UX) Design","Front-End Development","Visual Design",TBD
"DYN-003","4.1.3","AA","Status messages are announced by assistive technologies without affecting the focus.","Design","x","User Experience (UX) Design","Front-End Development","none","Requirement"
"DYN-004","4.1.3","AA","Status, toast, or similar messages are programmatically determined through WAI-ARIA roles or properties, so they can be presented to assistive technology users without receiving focus.","Development","x","Front-End Development","User Experience (UX) Design","none","Requirement"
